UserId,Channel,%Weekend,hour,sessionId,Browser,DeviceType,isMobile,OS,Events,PageViews,%Bounce,Source,HourBins,Cluster
213131142648941,Direct,0.0,22.0,1,Chrome,desktop,0.0,Macintosh,14.0,13.0,0.0,,21:00-23:59,2
435324061339869,Referral,0.666666667,21.0,3,Chrome,desktop,0.0,Macintosh,14.0,11.0,0.0,referral,21:00-23:59,3
562678147042735,Organic Search,0.0,14.0,2,Chrome,desktop,0.0,Macintosh,12.5,10.5,0.0,organic,12:00-14:59,0
585708896049892,Referral,0.0,20.0,1,Chrome,desktop,0.0,Linux,22.0,20.0,0.0,referral,18:00-20:59,1
670722016498267,Referral,0.0,17.0,2,Chrome,desktop,0.0,Linux,9.5,9.5,0.0,referral,15:00-17:59,1
852801263780322,Direct,0.0,20.0,1,Chrome,desktop,0.0,Linux,28.0,22.0,0.0,,18:00-20:59,2
1123528056036400,Direct,0.0,15.0,1,Chrome,desktop,0.0,Windows,35.0,31.0,0.0,,15:00-17:59,2
1905118576359480,Organic Search,0.0,16.0,2,Chrome,desktop,0.0,Macintosh,17.5,17.0,0.0,organic,15:00-17:59,0
2527528149176600,Organic Search,0.0,12.0,1,Safari,mobile,1.0,iOS,15.0,13.0,0.0,organic,12:00-14:59,0
2709834583138580,Direct,0.0,12.5,2,Firefox,desktop,0.0,Linux,8.0,8.0,0.5,,12:00-14:59,5
2838359588704330,Organic Search,0.0,13.0,1,Safari,desktop,0.0,Macintosh,26.0,23.0,0.0,organic,12:00-14:59,0
2871498069867120,Referral,0.0,12.0,3,Chrome,desktop,0.0,Macintosh,5.0,5.0,0.0,referral,12:00-14:59,1
3038010493412290,Direct,1.0,20.0,2,Chrome,desktop,0.0,Macintosh,9.5,9.5,0.0,,18:00-20:59,3
3438471796886080,Direct,0.666666667,2.0,3,Chrome,desktop,0.0,Macintosh,15.0,14.0,0.0,,00:00-02:59,3
3450834640354120,Organic Search,0.0,10.0,8,Chrome,desktop,0.0,Windows,13.0,10.5,0.125,organic,09:00-11:59,0
3717831825503020,Organic Search,0.0,3.0,2,Safari,mobile,1.0,iOS,15.5,15.0,0.5,organic,03:00-05:59,5
3961110741104600,Organic Search,0.5,2.5,2,Chrome,desktop,0.0,Macintosh,16.5,13.0,0.0,organic,00:00-02:59,0
4638983005167590,Referral,0.375,17.0,8,Chrome,desktop,0.0,Macintosh,3.0,3.0,0.25,referral,15:00-17:59,5
4868452367846670,Organic Search,0.142857143,2.0,7,Chrome,desktop,0.0,Macintosh,1.0,1.0,0.571428571,organic,00:00-02:59,5
5339642194263180,Organic Search,0.1875,16.0,16,Chrome,desktop,0.0,Windows,1.0,1.0,0.75,organic,15:00-17:59,5
5791622267997000,Display,0.0,20.5,6,Chrome,desktop,0.0,Windows,19.5,16.0,0.0,cpm,18:00-20:59,2
5879659021728030,Organic Search,0.0,14.0,5,Chrome,desktop,0.0,Macintosh,7.0,7.0,0.0,organic,12:00-14:59,0
5987390541733440,Organic Search,0.0,0.0,1,Chrome,desktop,0.0,Windows,42.0,37.0,0.0,organic,00:00-02:59,0
6173812362189690,Direct,0.0,17.5,8,Chrome,desktop,0.0,Macintosh,8.5,8.5,0.25,,15:00-17:59,2
6366382357860590,Organic Search,0.0,21.0,3,Chrome,desktop,0.0,Macintosh,4.0,4.0,0.0,organic,21:00-23:59,0
6911334202687200,Organic Search,0.333333333,5.0,3,Chrome,desktop,0.0,Macintosh,5.0,5.0,0.0,organic,03:00-05:59,0
7370307513460980,Referral,0.0,15.0,3,Chrome,desktop,0.0,Windows,29.0,21.0,0.0,referral,15:00-17:59,1
7610360596308600,Direct,0.0,15.0,1,Chrome,desktop,0.0,Windows,43.0,35.0,0.0,,15:00-17:59,2
7617910709180460,Organic Search,0.25,17.5,4,Safari,desktop,0.0,Macintosh,15.5,13.5,0.0,organic,15:00-17:59,0
7785136914311900,Referral,0.0,17.5,6,Chrome,desktop,0.0,Macintosh,9.0,8.0,0.0,referral,15:00-17:59,1
7933257389091620,Direct,0.0,17.5,4,Chrome,desktop,0.0,Macintosh,8.0,6.5,0.0,,15:00-17:59,2
7943880251511900,Referral,0.0,19.5,2,Chrome,desktop,0.0,Macintosh,21.0,16.0,0.0,referral,18:00-20:59,1
8569875679640700,Direct,0.0,7.0,1,Chrome,desktop,0.0,Macintosh,45.0,36.0,0.0,,06:00-08:59,2
8635110543627770,Referral,0.0,18.0,3,Chrome,desktop,0.0,Chrome OS,35.0,21.0,0.0,referral,18:00-20:59,1
8803033727416930,Direct,0.0,19.0,1,Chrome,mobile,1.0,Android,16.0,13.0,0.0,,18:00-20:59,2
9046037663524260,Organic Search,0.0,18.0,5,Chrome,desktop,0.0,Macintosh,12.0,9.0,0.0,organic,18:00-20:59,0
9644182629851600,Referral,0.0,14.0,2,Chrome,desktop,0.0,Macintosh,12.5,9.5,0.0,referral,12:00-14:59,1
10235349034444000,Referral,0.0,15.0,1,Chrome,desktop,0.0,Macintosh,15.0,12.0,0.0,referral,15:00-17:59,1
10295111715775200,Referral,0.0,0.5,2,Chrome,desktop,0.0,Linux,27.0,21.0,0.0,referral,00:00-02:59,1
11012202755429600,Direct,0.0,3.0,1,Chrome,desktop,0.0,Chrome OS,26.0,13.0,0.0,,03:00-05:59,2
11018661240317800,Referral,0.0,19.0,5,Chrome,desktop,0.0,Macintosh,14.0,8.0,0.0,referral,18:00-20:59,1
11223364686614300,Organic Search,0.0,15.0,1,Chrome,desktop,0.0,Windows,29.0,22.0,0.0,organic,15:00-17:59,0
12559495913113800,Organic Search,0.0,2.0,1,Edge,desktop,0.0,Windows,14.0,12.0,0.0,organic,00:00-02:59,0
12561433643490500,Paid Search,0.0,3.0,3,Chrome,desktop,0.0,Chrome OS,37.0,30.0,0.0,cpc,03:00-05:59,2
13296981549010400,Organic Search,0.0,1.0,1,Chrome,desktop,0.0,Windows,26.0,21.0,0.0,organic,00:00-02:59,0
13937734216012000,Referral,0.0,13.0,4,Chrome,desktop,0.0,Macintosh,24.0,18.5,0.0,referral,12:00-14:59,1
14253006455543600,Organic Search,0.5,20.5,2,Chrome,desktop,0.0,Windows,11.5,11.0,0.0,organic,18:00-20:59,0
14262055593378300,Referral,0.125,12.0,8,Chrome,desktop,0.0,Macintosh,10.5,9.5,0.25,referral,12:00-14:59,1
15618322761092300,Referral,1.0,2.0,1,Chrome,desktop,0.0,Windows,92.0,64.0,0.0,referral,00:00-02:59,4
15950283479889700,Organic Search,0.25,12.0,4,Chrome,mobile,1.0,Android,7.5,6.0,0.5,organic,12:00-14:59,5
16474246784013900,Social,0.0,19.0,1,Chrome,desktop,0.0,Macintosh,16.0,15.0,0.0,referral,18:00-20:59,1
16600374334482600,Referral,0.0,21.0,3,Chrome,desktop,0.0,Macintosh,39.0,26.0,0.0,referral,21:00-23:59,1
16925875208939500,Referral,0.0,14.0,6,Chrome,desktop,0.0,Macintosh,8.5,7.0,0.166666667,referral,12:00-14:59,1
18248151443924700,Organic Search,1.0,12.0,1,Chrome,desktop,0.0,Macintosh,26.0,22.0,0.0,organic,12:00-14:59,3
18386080117189500,Organic Search,0.0,2.0,2,Safari,mobile,1.0,iOS,12.0,10.5,0.0,organic,00:00-02:59,0
18400544049332100,Organic Search,0.0,5.0,1,Chrome,desktop,0.0,Macintosh,25.0,23.0,0.0,organic,03:00-05:59,0
19772767330770500,Organic Search,0.0,21.0,2,Chrome,desktop,0.0,Macintosh,33.5,25.5,0.0,organic,21:00-23:59,0
19814677684676000,Referral,0.0,10.5,8,Chrome,desktop,0.0,Macintosh,6.0,4.5,0.25,referral,09:00-11:59,1
20153652546549700,Referral,0.0,14.0,3,Chrome,desktop,0.0,Macintosh,35.0,25.0,0.0,referral,12:00-14:59,1
20342483972052400,Referral,0.5,7.0,2,Chrome,desktop,0.0,Macintosh,74.5,55.5,0.0,referral,06:00-08:59,4
20502892485275000,Referral,0.666666667,16.0,3,Chrome,desktop,0.0,Macintosh,10.0,8.0,0.333333333,referral,15:00-17:59,5
20712449954637100,Referral,0.0,9.5,2,Chrome,desktop,0.0,Macintosh,35.0,24.0,0.0,referral,09:00-11:59,1
20772809165725500,Direct,0.0,4.0,3,Chrome,desktop,0.0,Macintosh,6.0,6.0,0.0,,03:00-05:59,2
20941213751022400,Organic Search,1.0,19.0,3,Internet Explorer,desktop,0.0,Windows,13.0,11.0,0.333333333,organic,18:00-20:59,3
21724590578150300,Organic Search,0.0,18.0,1,Chrome,desktop,0.0,Macintosh,27.0,21.0,0.0,organic,18:00-20:59,0
21939395292136500,Paid Search,0.0,2.0,1,Chrome,desktop,0.0,Macintosh,107.0,82.0,0.0,cpc,00:00-02:59,4
22078954710203700,Referral,0.0,19.0,1,Chrome,desktop,0.0,Macintosh,82.0,64.0,0.0,referral,18:00-20:59,4
24164219255036000,Organic Search,0.166666667,21.5,6,Chrome,desktop,0.0,Windows,17.0,13.5,0.0,organic,21:00-23:59,0
24304007537579800,Referral,0.0,11.5,2,Chrome,desktop,0.0,Macintosh,20.0,17.5,0.0,referral,09:00-11:59,1
24314485741511600,Referral,0.5,14.0,4,Chrome,desktop,0.0,Macintosh,11.0,8.5,0.0,referral,12:00-14:59,1
24507252193437400,Direct,0.0,13.0,3,Chrome,desktop,0.0,Macintosh,23.0,16.0,0.0,,12:00-14:59,2
24725579067754000,Referral,0.0,17.0,1,Chrome,desktop,0.0,Chrome OS,71.0,56.0,0.0,referral,15:00-17:59,4
24932550342595400,Paid Search,0.5,15.5,2,Chrome,desktop,0.0,Windows,26.5,21.5,0.0,cpc,15:00-17:59,3
25383618704224200,Organic Search,0.0,19.0,2,Chrome,desktop,0.0,Windows,14.0,10.5,0.0,organic,18:00-20:59,0
25733439009029900,Organic Search,0.0,13.5,2,Chrome,desktop,0.0,Macintosh,9.5,8.5,0.0,organic,12:00-14:59,0
26203741366904200,Organic Search,0.0,17.0,5,Chrome,desktop,0.0,Macintosh,16.0,10.0,0.0,organic,15:00-17:59,0
26286046518884800,Social,0.0,15.0,3,Safari,desktop,0.0,Macintosh,1.0,1.0,0.666666667,referral,15:00-17:59,5
26329820781202500,Referral,0.0,20.0,2,Chrome,desktop,0.0,Chrome OS,20.0,15.0,0.0,referral,18:00-20:59,1
26401348536755800,Referral,0.0,12.0,9,Chrome,desktop,0.0,Macintosh,6.0,4.0,0.0,referral,12:00-14:59,1
27729301290398600,Direct,0.0,4.0,2,Chrome,desktop,0.0,Macintosh,16.5,13.0,0.5,,03:00-05:59,5
27819532062608300,Organic Search,0.0,16.0,5,Chrome,desktop,0.0,Windows,19.0,15.0,0.2,organic,15:00-17:59,0
28714765282885700,Referral,0.0,19.0,7,Chrome,desktop,0.0,Macintosh,6.0,6.0,0.0,referral,18:00-20:59,1
28920166996312400,Referral,0.083333333,18.0,12,Chrome,desktop,0.0,Macintosh,1.0,1.0,0.75,referral,18:00-20:59,5
28984301129433900,Organic Search,0.0,18.0,1,Chrome,desktop,0.0,Linux,15.0,12.0,0.0,organic,18:00-20:59,0
29131400687020400,Referral,0.0,17.5,4,Chrome,desktop,0.0,Macintosh,16.0,12.0,0.25,referral,15:00-17:59,1
29534875378731700,Direct,0.5,14.0,2,Chrome,desktop,0.0,Macintosh,72.0,46.5,0.0,,12:00-14:59,4
29617802319560200,Social,0.0,20.0,1,Chrome,desktop,0.0,Windows,54.0,40.0,0.0,referral,18:00-20:59,4
30596413607230000,Direct,0.111111111,18.0,9,Chrome,desktop,0.0,Macintosh,4.0,4.0,0.111111111,,18:00-20:59,2
30600107416389100,Referral,0.0,8.0,2,Chrome,desktop,0.0,Linux,11.0,9.5,0.0,referral,06:00-08:59,1
31037404193448700,Organic Search,0.0,20.0,3,Chrome,desktop,0.0,Macintosh,29.0,19.0,0.0,organic,18:00-20:59,0
31607904142435800,Referral,0.0,18.0,4,Chrome,desktop,0.0,Windows,14.0,13.0,0.0,referral,18:00-20:59,1
31812050678769200,Direct,0.0,19.0,1,Safari,mobile,1.0,iOS,19.0,15.0,0.0,,18:00-20:59,2
