fullVisitorId,channelGrouping,weekend_prop,hour,sessionId,device.browser,device.deviceCategory,device.isMobile,device.operatingSystem,totals.hits,totals.pageviews,bounce_prop,trafficSource.medium
213131142648941,Direct,0,22,1,Chrome,desktop,0,Macintosh,14,13,0,(none)
435324061339869,Referral,0.666666667,21,3,Chrome,desktop,0,Macintosh,14,11,0,referral
562678147042735,Organic Search,0,14,2,Chrome,desktop,0,Macintosh,12.5,10.5,0,organic
585708896049892,Referral,0,20,1,Chrome,desktop,0,Linux,22,20,0,referral
670722016498267,Referral,0,17,2,Chrome,desktop,0,Linux,9.5,9.5,0,referral
852801263780322,Direct,0,20,1,Chrome,desktop,0,Linux,28,22,0,(none)
1123528056036400,Direct,0,15,1,Chrome,desktop,0,Windows,35,31,0,(none)
1905118576359480,Organic Search,0,16,2,Chrome,desktop,0,Macintosh,17.5,17,0,organic
2527528149176600,Organic Search,0,12,1,Safari,mobile,1,iOS,15,13,0,organic
2709834583138580,Direct,0,12.5,2,Firefox,desktop,0,Linux,8,8,0.5,(none)
2838359588704330,Organic Search,0,13,1,Safari,desktop,0,Macintosh,26,23,0,organic
2871498069867120,Referral,0,12,3,Chrome,desktop,0,Macintosh,5,5,0,referral
3038010493412290,Direct,1,20,2,Chrome,desktop,0,Macintosh,9.5,9.5,0,(none)
3438471796886080,Direct,0.666666667,2,3,Chrome,desktop,0,Macintosh,15,14,0,(none)
3450834640354120,Organic Search,0,10,8,Chrome,desktop,0,Windows,13,10.5,0.125,organic
3717831825503020,Organic Search,0,3,2,Safari,mobile,1,iOS,15.5,15,0.5,organic
3961110741104600,Organic Search,0.5,2.5,2,Chrome,desktop,0,Macintosh,16.5,13,0,organic
4638983005167590,Referral,0.375,17,8,Chrome,desktop,0,Macintosh,3,3,0.25,referral
4868452367846670,Organic Search,0.142857143,2,7,Chrome,desktop,0,Macintosh,1,1,0.571428571,organic
5339642194263180,Organic Search,0.1875,16,16,Chrome,desktop,0,Windows,1,1,0.75,organic
5791622267997000,Display,0,20.5,6,Chrome,desktop,0,Windows,19.5,16,0,cpm
5879659021728030,Organic Search,0,14,5,Chrome,desktop,0,Macintosh,7,7,0,organic
5987390541733440,Organic Search,0,0,1,Chrome,desktop,0,Windows,42,37,0,organic
6173812362189690,Direct,0,17.5,8,Chrome,desktop,0,Macintosh,8.5,8.5,0.25,(none)
6366382357860590,Organic Search,0,21,3,Chrome,desktop,0,Macintosh,4,4,0,organic
6911334202687200,Organic Search,0.333333333,5,3,Chrome,desktop,0,Macintosh,5,5,0,organic
7370307513460980,Referral,0,15,3,Chrome,desktop,0,Windows,29,21,0,referral
7610360596308600,Direct,0,15,1,Chrome,desktop,0,Windows,43,35,0,(none)
7617910709180460,Organic Search,0.25,17.5,4,Safari,desktop,0,Macintosh,15.5,13.5,0,organic
7785136914311900,Referral,0,17.5,6,Chrome,desktop,0,Macintosh,9,8,0,referral
7933257389091620,Direct,0,17.5,4,Chrome,desktop,0,Macintosh,8,6.5,0,(none)
7943880251511900,Referral,0,19.5,2,Chrome,desktop,0,Macintosh,21,16,0,referral
8569875679640700,Direct,0,7,1,Chrome,desktop,0,Macintosh,45,36,0,(none)
8635110543627770,Referral,0,18,3,Chrome,desktop,0,Chrome OS,35,21,0,referral
8803033727416930,Direct,0,19,1,Chrome,mobile,1,Android,16,13,0,(none)
9046037663524260,Organic Search,0,18,5,Chrome,desktop,0,Macintosh,12,9,0,organic
9644182629851600,Referral,0,14,2,Chrome,desktop,0,Macintosh,12.5,9.5,0,referral
10235349034444000,Referral,0,15,1,Chrome,desktop,0,Macintosh,15,12,0,referral
10295111715775200,Referral,0,0.5,2,Chrome,desktop,0,Linux,27,21,0,referral
11012202755429600,Direct,0,3,1,Chrome,desktop,0,Chrome OS,26,13,0,(none)
11018661240317800,Referral,0,19,5,Chrome,desktop,0,Macintosh,14,8,0,referral
11223364686614300,Organic Search,0,15,1,Chrome,desktop,0,Windows,29,22,0,organic
12559495913113800,Organic Search,0,2,1,Edge,desktop,0,Windows,14,12,0,organic
